source	target
PTGDR2	INSR
ABL1	TRPM2
RHOB	TRPM2
ATP2A2	TRPM2
B2M	TRPM2
BRAF	TRPM2
ECT2	TRPM2
FGF2	TRPM2
FMR1	TRPM2
GRIN1	TRPM2
GRIN2A	TRPM2
GRIN2D	TRPM2
ITGAV	TRPM2
MAP3K5	TRPM2
NFE2L2	TRPM2
NOTCH2	TRPM2
PKD2	TRPM2
PLCG2	TRPM2
MAPK7	TRPM2
RELA	TRPM2
SCN5A	TRPM2
RAPGEF3	TRPM2
IQGAP2	TRPM2
ABL1	MAP3K5
FAS	MAP3K5
RHOB	MAP3K5
CDKN1A	MAP3K5
DDIT3	MAP3K5
DDX3X	MAP3K5
ECT2	MAP3K5
MTOR	MAP3K5
HMGB1	MAP3K5
HSF1	MAP3K5
IL1B	MAP3K5
MEF2C	MAP3K5
MAP3K4	MAP3K5
BCL2L11	MAP3K5
TLR6	MAP3K5
MALT1	MAP3K5
OS9	MAP3K5
ABL1	SRC
ABL2	SRC
AKT1	SRC
ANGPT1	SRC
AR	SRC
RHOA	SRC
BCL2	SRC
BCR	SRC
BLK	SRC
BMPR2	SRC
CDH17	SRC
CEBPA	SRC
COL1A2	SRC
COL3A1	SRC
CSF1R	SRC
CSNK2A1	SRC
CSPG4	SRC
AKR1C2	SRC
DDX3X	SRC
DYRK1A	SRC
EGFR	SRC
MARK2	SRC
EP300	SRC
EPHA1	SRC
EPHA3	SRC
EPHA4	SRC
ERBB2	SRC
ERBB4	SRC
EZH2	SRC
PTK2B	SRC
FES	SRC
FGF2	SRC
FGFR1	SRC
FGFR3	SRC
FGFR2	SRC
FGFR4	SRC
FLT1	SRC
FLT4	SRC
FYN	SRC
LRRC32	SRC
GATA1	SRC
GATA3	SRC
GPX1	SRC
HGF	SRC
HNRNPC	SRC
HNRNPU	SRC
HSF1	SRC
IGF2	SRC
IL1B	SRC
IL6ST	SRC
INSR	SRC
ITGAV	SRC
ITGB7	SRC
JUN	SRC
KDR	SRC
KIT	SRC
LCK	SRC
LYN	SRC
SMAD2	SRC
SMAD3	SRC
SMAD4	SRC
MAZ	SRC
MCL1	SRC
MEN1	SRC
MST1R	SRC
NOTCH1	SRC
NTRK1	SRC
DDR2	SRC
OPRD1	SRC
PAX2	SRC
PDGFB	SRC
PDGFRA	SRC
PDGFRB	SRC
PIK3CA	SRC
PIK3CB	SRC
PIK3CG	SRC
PLCG1	SRC
PRKD1	SRC
PRKCZ	SRC
MAP2K1	SRC
MAP2K2	SRC
PTK2	SRC
PTN	SRC
PTPN6	SRC
PTPN11	SRC
PTPRK	SRC
RAF1	SRC
RELA	SRC
RET	SRC
RIT2	SRC
RPS6KA3	SRC
RREB1	SRC
SOX9	SRC
SPI1	SRC
ABI1	SRC
HAX1	SRC
ABL1	BMPR2
AKT1	BMPR2
ANG	BMPR2
ANGPT1	BMPR2
RHOB	BMPR2
BCL6	BMPR2
BMP5	BMPR2
BMP7	BMPR2
BMPR1A	BMPR2
CDH13	BMPR2
CDKN1A	BMPR2
CDKN1B	BMPR2
CDKN2A	BMPR2
CDKN2C	BMPR2
CSNK2B	BMPR2
DACH1	BMPR2
DDX3X	BMPR2
DDX5	BMPR2
EGR3	BMPR2
ERBB3	BMPR2
ETS1	BMPR2
PTK2B	BMPR2
FES	BMPR2
FGF2	BMPR2
FLT4	BMPR2
GATA3	BMPR2
HIVEP1	BMPR2
HNF4A	BMPR2
IL6ST	BMPR2
INHBA	BMPR2
KDR	BMPR2
SMAD2	BMPR2
SMAD3	BMPR2
SMAD4	BMPR2
SMAD6	BMPR2
NRAS	BMPR2
DDR2	BMPR2
PDGFB	BMPR2
PIK3CG	BMPR2
PKD2	BMPR2
PLCG1	BMPR2
PML	BMPR2
PRKD1	BMPR2
PTK2	BMPR2
RAC1	BMPR2
RRAS	BMPR2
RREB1	BMPR2
SLIT3	BMPR2
AKT3	BMPR2
CCL26	BMPR2
ABL1	PTPN6
ABL2	PTPN6
CSF1R	PTPN6
DUSP7	PTPN6
DYRK1A	PTPN6
EGFR	PTPN6
EPHA2	PTPN6
EPHA1	PTPN6
EPHA3	PTPN6
EPHA4	PTPN6
EPHA7	PTPN6
EPHB1	PTPN6
ERBB2	PTPN6
ERBB4	PTPN6
PTK2B	PTPN6
FES	PTPN6
FGFR1	PTPN6
FGFR3	PTPN6
FGFR2	PTPN6
FGFR4	PTPN6
FLT1	PTPN6
FLT4	PTPN6
FSHR	PTPN6
FYN	PTPN6
HGF	PTPN6
IL1B	PTPN6
INSR	PTPN6
KDR	PTPN6
KIT	PTPN6
LCK	PTPN6
LYN	PTPN6
MAZ	PTPN6
NEDD4	PTPN6
NKX3-1	PTPN6
NTRK1	PTPN6
DDR2	PTPN6
PDGFB	PTPN6
PDGFRA	PTPN6
PDGFRB	PTPN6
PPP2R5A	PTPN6
PPP3CA	PTPN6
PPP6C	PTPN6
PRKCZ	PTPN6
PTEN	PTPN6
PTK2	PTPN6
PTPN1	PTPN6
PTPN2	PTPN6
ABI1	PTPN6
PTPRU	PTPN6
HAX1	PTPN6
PTPRT	PTPN6
ABL1	CD74
ACVR1	CD74
ADRA1A	CD74
ADRB3	CD74
JAG1	CD74
ANGPT1	CD74
RHOB	CD74
BCL2	CD74
ZFP36L1	CD74
CASP8	CD74
CASP10	CD74
CD58	CD74
CDK4	CD74
CDK6	CD74
CDKN1A	CD74
CSF1R	CD74
CSPG4	CD74
DACH1	CD74
DDIT3	CD74
DHX9	CD74
GSDME	CD74
EPHA1	CD74
PTK2B	CD74
FES	CD74
FGF2	CD74
FGFR1	CD74
FGFR3	CD74
FGFR2	CD74
FOXO3	CD74
FLT1	CD74
FLT4	CD74
GATA1	CD74
HGF	CD74
HLA-DRB1	CD74
HMGB1	CD74
HRAS	CD74
IGF2	CD74
IKBKB	CD74
IL1B	CD74
INSR	CD74
KDR	CD74
KIT	CD74
LGALS1	CD74
MDM2	CD74
CIITA	CD74
MITF	CD74
AFDN	CD74
MYC	CD74
NBN	CD74
NF1	CD74
NFATC2	CD74
PDGFB	CD74
PDGFRA	CD74
PRKD1	CD74
PTEN	CD74
PTPN11	CD74
PTPRC	CD74
PTPRK	CD74
RET	CD74
SOX2	CD74
SRC	CD74
STC1	CD74
SYK	CD74
TEC	CD74
NKX2-1	CD74
TLR2	CD74
TLR4	CD74
TLR5	CD74
TMPRSS2	CD74
TNF	CD74
